Tinamous: Tinamidae
1	Little Tinamou	Crypturellus soui
216	Lance-tailed Manakin	Chiroxiphia lanceolata
217	White-bearded Manakin	Manacus manacus
218	Golden-headed Manakin	Ceratopipra erythrocephala
Tityras and Allies: Tityridae		
219	Black-crowned Tityra	Tityra inquisitor
220	Masked Tityra	Tityra semifasciata
221	Russet-winged Schiffornis	Schiffornis stenorhyncha
222	Barred Becard	Pachyramphus versicolor
223	Cinereous Becard	Pachyramphus rufus
224	Cinnamon Becard	Pachyramphus cinnamomeus
225	Black-and-white Becard	Pachyramphus albogriseus
Vireos, Shrike-Babblers, and Erpornis: Vireonidae		
226	Rufous-browed Peppershrike	Cyclarhis gujanensis
227	Scrub Greenlet	Hylophilus flavipes
228	Golden-fronted Greenlet	Pachysilvia aurantiifrons
229	Brown-capped Vireo	Vireo leucophrys
230	Chivi Vireo	Vireo chiri
231	Yellow-green Vireo	Vireo flavoviridis
Crows, Jays, and Magpies: Corvidae		
232	Black-chested Jay	Cyanocorax affinis
Swallows: Hirundinidae		
233	Blue-and-white Swallow	Pygochelidon cyanoleuca
234	Southern Rough-winged Swallow	Stelgidopteryx ruficollis
235	Brown-chested Martin	Progne tapera
236	White-winged Swallow	Tachycineta albiventer
237	/Barn Swallow/	Hirundo rustica
Wrens: Troglodytidae		
238	Scaly-breasted Wren	Microcerculus marginatus
239	House Wren	Troglodytes aedon
240	Mountain Wren	Troglodytes solstitialis
241	Bicolored Wren	Campylorhynchus griseus
242	Rufous-breasted Wren	Pheugopedius rutilus
243	Rufous-and-white Wren	Thryophilus rufalbus
244	Bay Wren	Cantorchilus nigricapillus
245	Buff-breasted Wren	Cantorchilus leucotis
246	Gray-breasted Wood-Wren	Henicorhina leucophrys
Gnatcatchers: Polioptilidae		
247	Long-billed Gnatwren	Ramphocaenus melanurus
248	Tropical Gnatcatcher	Polioptila plumbea
Thrushes and Allies: Turdidae		
249	Orange-billed Nightingale-Thrush	Catharus aurantiirostris
250	Slaty-backed Nightingale-Thrush	Catharus fuscater
251	|Veery|	Catharus fuscescens
252	|Gray-cheeked Thrush|	Catharus minimus
253	/Swainson's Thrush/	Catharus ustulatus
254	Pale-breasted Thrush	Turdus leucomelas
255	Yellow-legged Thrush	Turdus flavipes
256	Pale-vented Thrush	Turdus obsoletus
257	White-necked Thrush	Turdus albicollis
258	Black-billed Thrush	Turdus ignobilis
259	Black-hooded Thrush	Turdus olivater
260	Great Thrush	Turdus fuscater
261	Glossy-black Thrush	Turdus serranus
Finches, Euphonias, and Allies: Fringillidae		
262	Blue-naped Chlorophonia	Chlorophonia cyanea
263	Trinidad Euphonia	Euphonia trinitatis
264	Thick-billed Euphonia	Euphonia laniirostris
265	Lesser Goldfinch	Spinus psaltria
266	Andean Siskin	Spinus spinescens
267	<Yellow-bellied Siskin>	Spinus xanthogastrus
Thrush-Tanager: Rhodinocichlidae		
268	Rosy Thrush-Tanager	Rhodinocichla rosea
New World Sparrows: Passerellidae		
269	Black-striped Sparrow	Arremonops conirostris
270	Gray-browed Brushfinch	Arremon assimilis
271	Golden-winged Sparrow	Arremon schlegeli
272	Rufous-collared Sparrow	Zonotrichia capensis
273	Santa Marta Brushfinch	Atlapetes melanocephalus
Troupials and Allies: Icteridae		
274	Yellow-billed Cacique	Amblycercus holosericeus
275	Crested Oropendola	Psarocolius decumanus
276	/Orchard Oriole/	Icterus spurius
277	Yellow-backed Oriole	Icterus chrysater
278	Orange-crowned Oriole	Icterus auricapillus
279	Yellow Oriole	Icterus nigrogularis
280	/Baltimore Oriole/	Icterus galbula
281	Shiny Cowbird	Molothrus bonariensis
282	Giant Cowbird	Molothrus oryzivorus
283	Great-tailed Grackle	Quiscalus mexicanus
New World Warblers: Parulidae		
284	/Louisiana Waterthrush/	Parkesia motacilla
285	Northern Waterthrush	Parkesia noveboracensis
286	/Golden-winged Warbler/	Vermivora chrysoptera
287	/Black-and-white Warbler/	Mniotilta varia
288	/Prothonotary Warbler/	Protonotaria citrea
289	/Tennessee Warbler/	Oreothlypis peregrina
290	/Connecticut Warbler/	Oporornis agilis
291	/Mourning Warbler/	Geothlypis philadelphia
292	/Kentucky Warbler/	Geothlypis formosa
293	/American Redstart/	Setophaga ruticilla
294	Tropical Parula	Setophaga pitiayumi
295	/Bay-breasted Warbler/	Setophaga castanea
296	/Blackburnian Warbler/	Setophaga fusca
297	Yellow Warbler	Setophaga petechia
298	/Blackpoll Warbler/	Setophaga striata
299	Black-throated Green Warbler	Setophaga virens
300	Rufous-capped Warbler	Basileuterus rufifrons
301	Golden-crowned Warbler	Basileuterus culicivorus
302	Santa Marta Warbler	Myiothlypis basilica
303	Gray-throated Warbler	Myiothlypis cinereicollis
304	White-lored Warbler	Myiothlypis conspicillata
305	/Canada Warbler/	Cardellina canadensis
306	Slate-throated Redstart	Myioborus miniatus
307	Yellow-crowned Redstart	Myioborus flavivertex
308	Golden-fronted Redstart	Myioborus ornatus
Cardinals and Allies: Cardinalidae		
309	Hepatic Tanager	Piranga flava
310	/Summer Tanager/	Piranga rubra
311	/Scarlet Tanager/	Piranga olivacea
312	Golden Grosbeak	Pheucticus chrysogaster
313	/Rose-breasted Grosbeak/	Pheucticus ludovicianus
314	Blue-black Grosbeak	Cyanoloxia cyanoides
315	Indigo Bunting	Passerina cyanea
Tanagers and Allies: Thraupidae		
316	Gray-headed Tanager	Eucometis penicillata
317	White-shouldered Tanager	Tachyphonus luctuosus
318	White-lined Tanager	Tachyphonus rufus
319	Crimson-backed Tanager	Ramphocelus dimidiatus
320	Black-cheeked Mountain-Tanager	Anisognathus melanogenys
