182	mexicanus	Northern Royal-Flycatcher	127
183	cinnamomeus	Cinnamon Flycatcher	128
184	fasciatus	Bran-colored Flycatcher	129
185	euleri	Euler's Flycatcher	130
186	audax	Black-billed Flycatcher	131
187	cooperi	/Olive-sided Flycatcher/	132
188	fumigatus	Smoke-colored Pewee	132
189	sordidulus	/Western Wood-Pewee/	132
190	virens	Eastern Wood-Pewee	132
191	cinereus	Tropical Pewee	132
192	fuscatus	Fuscous Flycatcher	133
193	traillii	/Willow Flycatcher/	134
194	nigricans	Black Phoebe	135
195	striaticollis	Streak-throated Bush-Tyrant	136
196	pernix	Santa Marta Bush-Tyrant	136
197	diadema	Yellow-bellied Chat-Tyrant	137
198	rixosa	Cattle Tyrant	138
199	spadiceus	Bright-rumped Attila	139
200	tuberculifer	Dusky-capped Flycatcher	140
201	venezuelensis	Venezuelan Flycatcher	140
202	cephalotes	Pale-edged Flycatcher	140
203	crinitus	/Great Crested Flycatcher/	140
204	tyrannulus	Brown-crested Flycatcher	140
205	lictor	Lesser Kiskadee	141
206	sulphuratus	Great Kiskadee	141
207	pitangua	Boat-billed Flycatcher	142
208	cayanensis	Rusty-margined Flycatcher	143
209	similis	Social Flycatcher	143
210	chrysocephalus	Golden-crowned Flycatcher	144
211	maculatus	Streaked Flycatcher	144
212	leucophaius	Piratic Flycatcher	145
213	melancholicus	Tropical Kingbird	146
214	savana	Fork-tailed Flycatcher	146
215	aureopectus	Golden-breasted Fruiteater	147
216	lanceolata	Lance-tailed Manakin	148
217	manacus	White-bearded Manakin	149
218	erythrocephala	Golden-headed Manakin	150
219	inquisitor	Black-crowned Tityra	151
220	semifasciata	Masked Tityra	151
221	stenorhyncha	Russet-winged Schiffornis	152
222	versicolor	Barred Becard	153
223	rufus	Cinereous Becard	153
224	cinnamomeus	Cinnamon Becard	153
225	albogriseus	Black-and-white Becard	153
226	gujanensis	Rufous-browed Peppershrike	154
227	flavipes	Scrub Greenlet	155
228	aurantiifrons	Golden-fronted Greenlet	156
229	leucophrys	Brown-capped Vireo	157
230	chiri	Chivi Vireo	157
231	flavoviridis	Yellow-green Vireo	157
232	affinis	Black-chested Jay	158
233	cyanoleuca	Blue-and-white Swallow	159
234	ruficollis	Southern Rough-winged Swallow	160
235	tapera	Brown-chested Martin	161
236	albiventer	White-winged Swallow	162
237	rustica	/Barn Swallow/	163
238	marginatus	Scaly-breasted Wren	164
239	aedon	House Wren	165
240	solstitialis	Mountain Wren	165
241	griseus	Bicolored Wren	166
242	rutilus	Rufous-breasted Wren	167
243	rufalbus	Rufous-and-white Wren	168
244	nigricapillus	Bay Wren	169
245	leucotis	Buff-breasted Wren	169
246	leucophrys	Gray-breasted Wood-Wren	170
247	melanurus	Long-billed Gnatwren	171
248	plumbea	Tropical Gnatcatcher	172
249	aurantiirostris	Orange-billed Nightingale-Thrush	173
250	fuscater	Slaty-backed Nightingale-Thrush	173
251	fuscescens	|Veery|	173
252	minimus	|Gray-cheeked Thrush|	173
253	ustulatus	/Swainson's Thrush/	173
254	leucomelas	Pale-breasted Thrush	174
255	flavipes	Yellow-legged Thrush	174
256	obsoletus	Pale-vented Thrush	174
257	albicollis	White-necked Thrush	174
258	ignobilis	Black-billed Thrush	174
259	olivater	Black-hooded Thrush	174
260	fuscater	Great Thrush	174
261	serranus	Glossy-black Thrush	174
262	cyanea	Blue-naped Chlorophonia	175
263	trinitatis	Trinidad Euphonia	176
264	laniirostris	Thick-billed Euphonia	176
265	psaltria	Lesser Goldfinch	177
266	spinescens	Andean Siskin	177
267	xanthogastrus	<Yellow-bellied Siskin>	177
268	rosea	Rosy Thrush-Tanager	178
269	conirostris	Black-striped Sparrow	179
270	assimilis	Gray-browed Brushfinch	180
271	schlegeli	Golden-winged Sparrow	180
272	capensis	Rufous-collared Sparrow	181
273	melanocephalus	Santa Marta Brushfinch	182
274	holosericeus	Yellow-billed Cacique	183
275	decumanus	Crested Oropendola	184
276	spurius	/Orchard Oriole/	185
277	chrysater	Yellow-backed Oriole	185
278	auricapillus	Orange-crowned Oriole	185
279	nigrogularis	Yellow Oriole	185
280	galbula	/Baltimore Oriole/	185
281	bonariensis	Shiny Cowbird	186
282	oryzivorus	Giant Cowbird	186
283	mexicanus	Great-tailed Grackle	187
284	motacilla	/Louisiana Waterthrush/	188
285	noveboracensis	Northern Waterthrush	188
286	chrysoptera	/Golden-winged Warbler/	189
287	varia	/Black-and-white Warbler/	190
288	citrea	/Prothonotary Warbler/	191
289	peregrina	/Tennessee Warbler/	192
290	agilis	/Connecticut Warbler/	193
291	philadelphia	/Mourning Warbler/	194
292	formosa	/Kentucky Warbler/	194
293	ruticilla	/American Redstart/	195
294	pitiayumi	Tropical Parula	195
295	castanea	/Bay-breasted Warbler/	195
296	fusca	/Blackburnian Warbler/	195
297	petechia	Yellow Warbler	195
298	striata	/Blackpoll Warbler/	195
299	virens	Black-throated Green Warbler	195
300	rufifrons	Rufous-capped Warbler	196
301	culicivorus	Golden-crowned Warbler	196
302	basilica	Santa Marta Warbler	197
303	cinereicollis	Gray-throated Warbler	197
304	conspicillata	White-lored Warbler	197
305	canadensis	/Canada Warbler/	198
306	miniatus	Slate-throated Redstart	199
307	flavivertex	Yellow-crowned Redstart	199
308	ornatus	Golden-fronted Redstart	199
309	flava	Hepatic Tanager	200
310	rubra	/Summer Tanager/	200
311	olivacea	/Scarlet Tanager/	200
312	chrysogaster	Golden Grosbeak	201
313	ludovicianus	/Rose-breasted Grosbeak/	201
314	cyanoides	Blue-black Grosbeak	202
315	cyanea	Indigo Bunting	203
316	penicillata	Gray-headed Tanager	204
317	luctuosus	White-shouldered Tanager	205
318	rufus	White-lined Tanager	205
319	dimidiatus	Crimson-backed Tanager	206
320	melanogenys	Black-cheeked Mountain-Tanager	207
321	taeniata	Buff-breasted Mountain-Tanager	208
322	episcopus	Blue-gray Tanager	209
323	palmarum	Palm Tanager	209
324	cyanocephala	Blue-capped Tanager	209
325	cyanoptera	Black-headed Tanager	210
326	heinei	Black-capped Tanager	210
327	gyrola	Bay-headed Tanager	210
328	viridis	Swallow Tanager	211
329	cayana	Blue Dacnis	212
330	cyaneus	Red-legged Honeycreeper	213
331	rufum	Rufous-browed Conebill	214
332	humeralis	Black Flowerpiercer	215
333	albilatera	White-sided Flowerpiercer	215
334	sittoides	Rusty Flowerpiercer	215
335	caerulescens	Bluish Flowerpiercer	215
336	diadema	Plushcap	216
337	rustica	Slaty Finch	217
338	rubrirostris	Gray-hooded Bush Tanager	218
339	citrina	Stripe-tailed Yellow-Finch	219
340	jacarina	Blue-black Grassquit	220
341	castaneiventris	Chestnut-bellied Seedeater	221
342	minuta	Ruddy-breasted Seedeater	221
343	angolensis	Chestnut-bellied Seed-Finch	221
344	crassirostris	Large-billed Seed-Finch	221
345	nigricollis	Yellow-bellied Seedeater	221
346	inornata	Plain-colored Seedeater	222
347	homochroa	Paramo Seedeater	222
348	flaveola	Bananaquit	223
349	olivaceus	Yellow-faced Grassquit	224
350	obscurus	Dull-colored Grassquit	224
351	bicolor	Black-faced Grassquit	224
352	maximus	Buff-throated Saltator	225
353	coerulescens	Grayish Saltator	225
354	striatipectus	Streaked Saltator	225
